Dialetto,Italiano
*amét,"amo,  o  sol  l’  uncino  dell'  amo."
améter,ammettere  ne’  vari  sensi:  accet¬
a.  o  no,"ammissibile,  inammissibile,"
a  mèz.  V.  a  la  part.  Lasar  a  m.,la¬
amicizia,"amicizia,  anco  per  amorazzo,"
tana,"amicizia  di  saluto,  di  cappèllo.  Dir,"
parlar  en  a.,"dire,  parlare  in  confidenza,"
in  amicizia.  Far  a.,"fare,  stringere  amicizia."
Pati  ciati  e  a.  longa,patti  chiari  e  ami¬
"amigo,  amiga","amico;  amica,  anco  per"
"mente.  A.  a  la  lontana,  de  capei",amico
"di  saluto,  di  cappèllo.  A.  de  casa",amico
"di  casa,  familiare.  A. de!  còr","molto  amato,"
Farse  a.,"farsi  a.,  amicarsi.  L‘  a.  fire’sa."
V.  Qiresa.  Quel  a.,quel  tale  o  cotale.
"A.  de  tanti,  a.  de  nistin",amico  di  tutti
amigón,"amicóne;  compagnone,"
aministradór,amministratore;  ministro;
aministrar,amministrare  ne’  vari  sensi:
aministrazión,"amministrazione;  azienda,"
"direzione,  governo.  Propri  de  i  a.",am¬
amirazión,"ammirazione,  da  ammirare,"
amisiòn,"ammissione,  accettazione,"
amonizión,"ammonizione,  riprensione,  cor¬"
"rezione;  Far  n""  a.","ammonire,  riprendere,"
a  mont,"a  vuoto,  a  monte.  Far,  mandar"
a  m.,"andar  a  monte,  far  monte,  man¬"
amontar,"ammontare,  ascendere,  sommare,"
amór,"amore  ;  amoreggiamento  ;  sapore,"
rès,"amore  interessato,  amor  del  sarto."
A.  propri,amor  proprio.  •  Aver  a.
a  qualcbs,"avere  inclinazione,  avere"
solerzia.  Aver  a.  al  soldo,"essere  avaro,"
taccagno.  Far  V  a..,fare  all’  amore  ;  a-
còs,"desiderare  vivamente,  far  all’amore"
ociade,far  l’occhio  pio.  No  aver  a.  -
"esser  scipito,  donde  scipitezza.  Per  a.",per
di.  Per  a.  de  Dio !,"per  carità,  per  pietà,"
amore  ( degli  animali)  Xar  en  a.,"andare,"
amoràz,"amorazzo,  tresca."
*amór  en  còlerà,aquilegia  (siberiana).
amorezar,"amoreggiare,  vagheggiare,  am¬"
amorét,"amoretto,  passioncella."
a  morte,"a  morte,  iulino  a  morte;  riso-"
n  in.,"odiare  mortalmente,  a  morte,  a-"
amortiiar,ammortizzare.
*ampò,"tuttavia,  nonostante  questo,  con,"
àmpola,"ampolla,  fiala."
ampolina,"ampolla,  ampollina  (quelle  della"
der  San  Pero  en  te  n'a.,far  creder  mi¬
"*ampómola,  ampomolàr",lampone  ( frutto
a  roucio,"in  gran  quantità,  a  mucchi,  a"
an,"anno;  annata.  St’  a.  •  quest’  anno,"
l’anno  corrente.  L’  an  che  vrn,l’anno
venturo  o  prossimo;  Va.  de  là,l'anno
di  là;  Va.  pasti,"l’anno  passato,  scorso,"
"Ani  e  ani,  ani  attònita","anni  e  anni,  an¬"
"ni  dòmini.  Aver  i  so  a.,  i  so  aneti",esser
se  riferii  a  n’a.,annuo.  Che  vèti  ogni
a.,annuale;  ogni  do  a.  •  biennale;  ogni
ani,"biennio,  triennio,  quadriennio,  quin¬"
"decennio,  f ’ent  a.",sècolo.  Che  f  ha  o
che  ven  ogni  fento  a.,"centenario,  secolare."
L' a.  del  mai,"mai,  scherz.  il  prim’  anno"
nono  o  de  Jì/atùsalem,"sono  anni,  degli"
a.,"portar  bene  gli  anni.  Sii  ani,  sti  ani"
"antichi,  sti  a.  anòrum","un  tempo,  una"
anada,"annata,  donde  annatina,  annatona."
anagrafe,anagrafe.
ananàs,ananasso.
anarchia,anarchia.
anàrchico,"anàrchico,  anarchista."
anca,"anche,  anco,  ancora  ;  pure.  Se  a."
*ancabèn,"quand'anche,  ancorché,  sebbene."
*ancói,oggi  (dal  lai.  barb.  lume  hodie;
"XX  lo,  XXXIII 96).  A!  dì  d’a.","oggidì,"
"ito,  a  quìndese","oggi  a  otto,  a  quindici."
*àncole.  Tirar  le,"essere  sfinito,  tener"
àncora,"àncora,  donde  ancorare,  ancoraggio."
Parti  costituenti  i'  àncora  :  ani/,anello  ;
ancóra,"ancora,  dell’altro;  tutt’  ora;  di"
ancùzen,incùdine.  El  zbc  per  fa. -ceppo.
Èser  tra  V  a.  e  ’l  malie/,aver  mal  par¬
*anda.  Ciapar  Va.,"pigliar  1’  ambio,  pren¬"
and  idora,piano  inclinato  per  salire  o
calare  dei  corpi  pesanti,sdrùcciolo;  in
"gen,  cosa  che  agévoli  iZ  salire  ‘etc",sa¬
"fondo,  un'  acqua  etc.","palàncola  ( pancóne ),"
etc.,trappolino.
andadura,"andatura,  portamento,"
andamént,"andamento,  procedimento,  pro¬"
andante,"andante  ne’  vari  sensi:  semplice,"
andar.  V.  Xar.  A  longo  a.,a  lungo  an¬
àndit,"àndito  ;  androne  [più  lungo,  a  ter¬"
♦andrena,vicolo  ;  se  oscuro  o  poco  pu¬
"-  anatraia,  Caminar  come  ti  a.",cammi¬
ànedra  selvàdega,"ànatra  selvatica,  ger¬"
anedròt,"anatròccolo,  anatrotto."
anedròta,"anatretta,  anatrino  ;  fg.  donnetta"
anèl,"anello;  cerchio  (se  liscio),  el.  de  la"
rìgido );  da  coltrino  etc.,campanella;  de
nedetto.  Compare  de  l’  a.,testimonio.
El  de'  de  /’ a.,"dito  anulare,"
ànem,V.  Animo.
ànes,ànacio.  ànace.
"anesln,  anesini","ànaci  in  camicia,  anacini"
anesón,anisetta.
a  nesùn  costo,"a  nessun  patto,  a  nessun"
anét,"annetto,  Aver  i  so  a.  V.  An."
angaria,"angheria,  soprusi;  gravezza  (d'im¬"
angariar,"gravare,  angariare;  taglieggiare,"
angèlica,àngela  (uva).
♦anghér,"rampone,  rampicene,  raffio,  do¬"
par  co  La.,"aggrappare,  arraffare,"
àngol,"canto,  cantuccio  ;  angolo,"
angonìa,"agonia  (vvìg.  fior,  nngonla)  Èsser"
cn  a.,"esser  in  agonia,  agonizzare,  donde"
angósa,"ansia,  ansietà,  (nei  senso  morale),"
♦anguilòt,anguilla  marmala.
ànima,ànima  ne'  vari  sensi :  spirilo;  vita;
gagliardia.  A.  dei  butani,anima;  de  le
scarpe,ripieno  c  pur  anima;  de  n‘  us  etc.
"anima  dannata,  pèrsa.  A.  longa",uno
/'anima  de...,essere  la  persona  principale
d’anime,cura  d'anime.  Gomitar  fa.  •
stono  etc.,la  buon’anima  eie.  Mcter  fa.
per  f  a.,"annoiare,  infastidire,  romper"
l'anima.  V.  romper.  Veder  fa.,tòr  la
zerda,"impazientirsi,  stizzirsi,  esser  stufo,"
animar,"animare,  confortare,  incorare,  dar"
animèla,luminello  (del  lumino  da  notte).
ànimo,"animo;  indole;  sentimento,  inten¬"
zione;  coraggio.  Animo!,su  via!  ànimo!
Mcter  fa.  en  page,"rassegnarsi,  adattarsi,"
aniversari,anniversario.
anòna,annona.
anotazidn,annotazione;  nota;  appunto.
ansar,"ansare,  trafelate."
ansia,"ansia  donde  ansioso  ;  brama,  bra¬"
ansietà,"ansietà,  inquietudine."
antana,"stanza  sotto  al  tetto,  soffitta;  log¬"
antana,"lantana,  viburno;  vermèna,  vimine."
^intana,le  erbe  appena  segate  e  lasciate
antena,"pertica;  antenna,  stile,  abetella"
antenato,"antenato,  avo;  piur.  maggioii,"
antevidenz  a,"previdenza,  precauzione,"
antìc,"nel  detto  Sii  ani  antichi  (  V.  ani,"
sava  t  piaci  coi  pichi,quando  usava  ti¬
anticaia,"spreg.  anticaglia,  anco  per  per¬"
anticamént,"anticamente,  in  antico,  in"
anticàmera,"anticàmera,"
antichità,antichità  ne’  vari  sensi.
anticipar,anticipare  ne’  vari  sensi.
anticristo,"anticristo,"
antifona,motto  che  fa  presentire  cosa
*antigo.  Pitta  a.,zitellona.
antipàst,"antipasto,  principi;  se  freddi  -"
antipatìa,"antipatia,  contrarietà,  avversione,"
antipàtico,"antipatico,  uggiolio."
*antipòrt,"uscio  a  vetri,  usciale,  vetrata  ;"
antiquari,antiquario.  L'arte  de  fa.  -
anuàl,"annuale,  annuo,"
anualmènt,"annualmente,"
anular,"annullare,  donde  annullamento  ;  in¬"
anunziar,"annunziare;  d'  un  manifesto,"
anunzio,"annunzio,  avviso;  laudo."
anzana,alzaia.  C7rr  tira  la  barca  co  Va.
anzi,anzi;  al  contrario.
anziàn,anziano  donde  anzianità;  seniore.
♦anziana,genziana.
ànzol,"angelo,  e  più  pop.  àngiolo.  De,  da"
tutelare.  /.’  è  n’  a.,di  persona  buona  e
"queta,  è  un  angelo.  Nar  via  coi  a.",esser
anzolét,"angioletto,  angiolitio."
aniolin,"bambino  morto,  angiolino,  angio¬"
*ao,"trisàvolo,"
a  dei  seradi,"a  chius'  occhi,  a  occhi  chiusi,"
a  ogni  costo,"a  ogni  modo,  a  ogni  costo,"
a  onde,a  onde  ne’  vari  sensi:  anco  va¬
a  ongia,a  menadito  ( schen .  o  iron.
a  onza  a  onza,"a  poco  per  volta,  a  oncia"
apagar,"appagare,  sodisfare."
♦a  palpón,"al  tasto,  tastoni,  tentoni,  bran¬"
coloni.  Nar  a  p.,"brancolare,  andar"
apaltadór,"appaltatore,"
apaltar,"appaltar,  accollare,"
apalto,"appalto,  accollo.  Chi  dà  en  a.  -"
appaltatore.  Chi  ibi  en  a.,"accollatario,"
apanagio,"appannaggio,  assegnamento,"
apanar,appannare  donde  appannamento;
♦a  panza,"come  vien  viene,  alla  grossa  ;"
aparato,"apparato,  apparecchio,  congegno,"
aparente,"apparente;  illusorio,"
aparenza,apparenza  ne'  vari  sensi:  este¬
riorità;  appariscenza.  Salvar  le  a.,salvar
aparizión,"apparizione  da  apparire,  com¬"
apartamént,"appartamento,  quartiere,"
apartamentìn,"quarlierino,  spreg.  quar-"
apartegnlr,"appartenere,  spettare;  appar-"
a  pati,"ad  accordi,  a  patti,"
a  pato  che,"a  condizione  che,  purché,  a"
*a  pè  d’oca,"a  ventaglio,"
apelarse,appellarsi.
apena,"appena;  appena  appena,  a  fatica,"
apèndi^e,"appendice*  donde  appendicista,"
♦apertura,allentatura  (d'intestini).
apetenza,"appetenza,"
apetlt,"appetito;  fame;  voracità,"
apetitós,"appetitoso  donde  appetitosamente,"
♦api,"giulebbe  di  mele  applò/e  melappio,"
apianar,"appianare,  accomodare  (difficoltà,"
a  pian  terén,"a  terreno,"
a  picolón,"pencolando,  barcolloni.  <"
a  piombo,a  piombo;  a  peipendicolo.
♦a  piz  cóp,"a  spizzico,  a  spillùzzico,  a  mic¬"
cino.  Zugar  a.  p.  o  a  p.  e  c.,"fare,  gio¬"
aplaudir,"applaudire,  approvare,"
apiàuso,applàuso.
aplicar,applicare  ne'  vari  sensi.  Ap/icarse
apllcazión,"applicazione,  diligenza,  so¬"
apogiar,"dar  protezione,  appoggiare,  fa¬"
apogio,"protezione,  appoggio,  puntello  {/yr)"
a  pont,"a  propòsito,  appunto,"
aposta,"pensatamente.  •  apposta,  a  bella"
"dato  uso,  apposta.  Far  a.",espressamen¬
’l  fcs  a.,"neanche  a  farlo  apposta,"
apostato,"messo  a  posta,  messo,"
a  pràtica,secondo  la  pura  pratica  o  li¬
"saccio,  malamente.  Chi  lavora  a.  p.",pra¬
aprensidn,"apprensione,  inquietùdine.  .)/,■-"
terse  en  a.,"mettersi  etc.,  apprensiouirsi."
aprensivo,"apprensivo,  timoroso,"
après,"insieme,  con;  guarnizione,  con¬"
"aprile;  lusingare.  A.,  doìfe  dormir","aprile,"
dolce  dormire.  A.  ogni  di  en  borii,a-
a  primo  intro,"di  primo  tratto,  alla  bulla"
a  pronti,"a  pronti  contanti,  a  contanti,"
a  contanti.  Pagar  a  p.,pagare  a  con¬
a  propòsit,"a  propòsito,  appunto.  Suge-"
der  na  còsa  a  p.,"venire  opportuno,  ca¬"
approvar,approvare  ;  assentire  ;  collau¬
aprovazión,"approvazione,  assenso;  col¬"
a  pu  non  pòs,"a  lutto  potere,  a  più  po¬"
apuntamént,"appuntamento,  convegno,"
ga.  Par  n  a.,"dar  1*  appuntamento,  ciaf"
a  quaioti.  Far,"dimenticarsi,  scordarsi,"
a  qualche  fòia,"malamente,  negligente¬"
aquilin,aquilino  (naso).
aquilòt,aquilotto.
ara,"aia,  donde  aiata  ( quanta  roba  si  può"
stendere  sull’  aia).  Meter  ao  «’  a.,stèn¬
àrabo.  Èser,esser  cosa  che  non  si  ca¬
arada,"/'  atto  di  arare,"
aradura,"aratura  ;  solcata,  solcatura,"
a  raguaglio,"a  ragguaglio  di,  a,  in  pro¬"
il  sovescio.  A.  ìizèr,"arare  leggermente,"
superficialmente;  forni,profondamente;
per  menù,"alla  minuta,  minutare  (a  sol¬"
chi  serrati).  A.  drit,"operare  rettamente,"
"arare,  rigar  diritto;  stòri","traviare,  uscire"
a  raSo  tèra,"rii  sente  terra,  terra  terra,"
arativa,"terra  arativa,  terreno  arativo.  A."
vignada,t.  arativo  vignato  o  vitato.  A.
morarada,l.  arativo  gelsalo.
"arai,  arazo","arazzo;  donde  arazziere,"
♦arbandon  •  abbandono.  A  V  a.,in  ab¬
♦arbandonar,"abbandonare,  lasciare  ;  smét¬"
♦arbasar,"abbassare,  sbasserei  scemare,"
"calare;  chinare,  piegare.  A.  el  terèn",ster¬
rare.  a.  la  testa,"chinare  il  capo,"
♦jrbasada,"abbassamento,  sbassamelo,"
♦arbinar,volg.  per  binar  V.
arbitrar,arbitrare;  spadroneggiere.
"arbitri,  arbitrio",arbitrio.  Fat  per  a.
*àrbol,"àlbero,  pianta.  Piantò,  coèrt  de"
àrboi,alberato.  Terèn  piantò  de  a.  -
n'a.,pianta  arborescente.  Che  g’  ha  for¬
ma  d’a.,arbòreo.
♦àrbola,"pioppo,  (pioppo)  gàttice,  pepai."
àlbero.  Bosch  de  a.,"pioppaia,"
arboladura,"sviluppo  e  copia  (V  alberi,"
arborèla,"pioppo,  trèmulo,  alberella."
arbosèl,"alberetto,  alberino,  alberotto;"
arcada,"arcata;  arco,  vòlta,"
arcadura,"arcata,  arco.  A.  de  le  fie.  -"
arcano.  Scoprir  V,"scoprir  1  arcano,  il"
"archét,  archetìn","archetto,  archettino;  ar-"
A.  del  violin,"arco,  archetto;  da  ciapar"
osci,archetto.  Parer  ciapà  cn  te  i  a.  -
*architèchi,"masserizie,  masseriziole,  ca¬"
architét,"architetto,  donde  architettare  (an¬"
archiviar,"archiviare,  registrare."
areji,"prefisso  indicante  superiorità,  arci"
artjiàsen,"asinaccio,  villanzone  ;  babbuasso."
*anjiprès,"cipresso  (a  Pistoia  arcipresso),"
arciprèt,arciprete.
arcivéscov,"arcivescovo,  donde  arcivesco¬"
della  porta;  a.  de  violin,"arco,  archetto."
El  nar  fora  la  frisa  da  l'  a.,"saettare,"
Va.,"scattatolo,  scoccatolo."
♦arcoada,chiurlo  (grosso).
♦arcoar,raccogliere  il  grano  segato  etc.
arcobalén,"arcobaleno,  arco  celeste,  iride,"
arcóva,alcòva.
ardenza,"ardore,  fervore,  entusiasmo.  .!/<•-"
terse  cn  a.,"infervorarsi,  accèndersi;  ap-"
àrder,"àrdere,  abbruciarsi,  incendiarsi.  No"
a.  e  no  brasar,"non  spiegarsi,  essere  chiuào,"
ardimént,"ardire,  ardimento,  arditezza;  ^"
ardito,"ardilo;  petulante;  sano,  robusto,"
"♦arèi,  arèla","canniccio  (propr.  di  canne),"
arenarse,"arrenarsi,  incagliarsi,  dare  in"
*arènt,"appresso,  allato,  a  fianco,  accosto,"
"vicin  vicino,  a  ridosso.  A.  che","dopo  che,"
in  ricambio.  A.  a  quest,"inoltre,  di  più,"
a  reàón,"a  ragione,  in  ragione  di,  in  pro¬"
arèst,"arresto,  cattura,"
arestar,"arrestare,  catturare."
*arfi,"respiro,  àlito,  fiato."
*arfiar,"respirare,  alitare,  fiatare."
*argàgn,"arnese,  ordigno,  congegno  ;  ciarpa,"
àrghen,"àrgano  (  co*  manubri  orizzontali),"
verricello  (con  verticali).  Coi  a.,"a  stento,"
àrgani.  Voìerghe  i  a.,abbisognare  gran
argomént,"argomento,  propòsito,"
arguir,"arguire,  argomentare,  dedurre,  con¬"
ari  !,"grido  per  incitar  le  bestie  da  soma ,"
aria,aria;  poet.  àe re;  atmosfera  (tutta  la
Va.  averta,"all’aria  aperta,  al  fresco,  in"
A  mèz  a.,"accennando  senza  spiegare ,  in"
far  en  a.,"buttare,  mandare  sossopra,  in"
de,"affettare  le  maniere,  le  parole  di,  darsi"
"l’aria  di,  spacciarsi  per.  En  a.",senza
"in  aria,  per  aria.  Entender  per  a.",in¬
mezz’aria.  Èserghe  per  a.,essere  immi-
Fai  de  a.,"senza  fondamento,  aèreo.  Pii"
"corna.  Parer  fat  de,  co  Va.","fine,  deli¬"
gnatica  Va.,"dover  restar  segreto,  non"
essere  aria  per  uno.  Per  a.,"in  disordine,"
denza.  Tegnir  un  su  V  a.,"tenere  a  bada,"
in  aspettazione.  Tiro  d V  a.,riscontro  d’a¬
una  fessura  '.  Viver  d'a.,campar  d’a.
ària,"àrea,  estensione,  spazio,"
arichir,"arricchire,  così  per  fare  come  per"
ariéta,"brezzolina,  brezzettina;  conzonetta,"
*ariòma,convulsione;  spàsimo.  Patir  V  a.
*arión,"gTan  boria,  grande  alterigia,  bur-"
ariós,"arioso,  soleggiato,"
a  riséio,"in  pericolo  ;  a  rischio,  a  risico  di."
a  rìsegh,"appena,  appena  appena,"
aristocràtico,"aristocràtico,  superbioso,"
aristocrazìa,"aristocrazia;  alterigia,  sussiego,"
aritmètica,"aritmètica;  conteggio,"
arivar,"arrivare  ne*  vari  sensi:  giùngere,"
approdare;  raggiungere.  A.  adòs,arrivar
"sopra,  addosso.  No  arivarghe",non  in¬
arivo,"arrivo  ;  venuta,"
arlechinada,"arlecchinata,  anco  fig.  per"
*arlév,allievo;  redo  (r ielle  bestie  da  stalla);
levi,un 'allevata;  alleviale  (di  allievi  e  di
arlevada,allevata.  V.  aridi'.
*ar levar,allevare  ne' vari  sensi;  dare  i
mali);  coltivare  (piante).  V  a.,"allevatimi,"
arma,"arme,  arma;  stemma,  insegna.  A."
me  in  asta.  Chi  fa  o  vende  a.,armatolo.
Chi  porta  a.,"armato,  lei  ter.  armigero;"
chi  è  sene’  a.,inerme.  Racolta  d’ a.  -
armà,"armato,  fornito  d’armi;  munito,"
armada,"armata  | prop.  di  mare),  esèrcito,"
armadura,"armatura  ne""  vari  sensi.  A.  de"
le  ré,armatura.  Melar  V  a.  dei  vólti  etc.
-  armare;  tarla  via,disarmare.
armar  (verb.),"armare,  armamento,  ne’ vari"
denti,armato  fino  ai  denti.  Armane  de
pazienza  eie.,armarsi  di  pazienza  etc.
armar  (sost.),armadio.  /  uscii  de  /'  a.  -
battenti;  le  scafo,"palchetti,"
armarón,"armadione;  guardaroba,"
armaròt,"armadietto,  armadiòlo;  stipo."
*armèla,collare  (de!  cane;  in  hit.  armilla
*armelin,albicocca
''armelinàr,albicocco  (in  antichi  scrittori
armenta,giovenca  (di  2  a  3  anni);  vacca
armonia,"armonia  ne'  vari  sensi  ;  concordia,"
amés.  Èser  ben  0  mal  en  a.,esser  bene
àrnica,arnica.
arogante,"arrogante;  petulante,"
aroganza,arroganza;  pelulanz  .
"arolar,  arolarse","arruolare,  arruolarsi  ;"
iscrivere  etc.  3 ornar  a  a.,"raffermarsi,"
aromàtico,"l  ,  romàtico ."
arpa,"arpa,  donde  arpeggio,  arpeggiare."
Sonadór  d'  a.,arpista.
arpia,uomo  e  piuttosto  donna  brutta
ars,"arsiccio,  riarso,  prosciugato.  Gola  a."
-  arcione.  A.  de  bèsi,"corto  a  quattrini,"
arsenàl,arsenale  (donde  si  dissero  arse¬
arsènico,"arsènico,  donde  arsenicale,"
arte,"arte,  meno  elevato  mestiere;  arte"
gemma.  -Va  aver  ne  a.  ne  parte,non
né  palle.  Pagar  Va.,prendere  ia  matrì¬
tega  sira,chi  non  sa  l’arte  serri  la  bot¬
arteria,"arteria,  donde  arterioso  (sangue)."
artesàn,"artigiano,  ardere."
*articiòc,carciófo  (il  grùmolo  e  ia  pianta
A.  saivàdegh,"carciofo  selvatico,  cardo."
Le  foie  tir  l' a.,foglie;  <•/  ciih't  -girello;
la  barba,barba.  /  buti  che  se  trapianta
-  carducci.  Chi  venda  a.,carciofaio.
articiocara,"terreno  piantato  da  carciofi.,"
articìochèt  selvadegh,semprevivo  (dei
artieoi,"articolo,  ne’  vari  sensi  (anco  com¬"
articolari.  Datori,dolori  articolari  o  ar¬
articolazión,"articolazione,  giuntura,"
artifizi,"artifizio;  astuzia,"
artista,"artista,"
a  rudolòn,"rotoloni,  rotolone."
♦arvegnir,"rinvenire,  riaversi,  ricuperare  i"
sensi.  Par  a.,mettere  in  molle  per  far
rinvenire  (una  botte  eie.).  Arvegnit,rin¬
arzènt,argento.  Che  g'ha  7  colar  de  fa.
argentino.  Chi  lavora  fa.,argentiere.  A.
viv,"mercurio,  argento  vivo;  questo  anche"
arzentadura,"argentatura,"
argentar,"argentare,"
arzentaria,argenteria.
^arzigna,capniggine.
-arzignadór,caprugginatoio.
■  arzignadura,caprugginatura.
'arzignar,capntgginare.
arzón,"arcuccio,  arcotrcello."
arzonar,"piegare  ad  arco,  arcare,  falcare."
as  [maschi),"asso  ( nelle  carte  da  gioco),"
"as,  asa  !  Janni.)","asse,  tavola,  A.  da  s  fre¬"
seria.  Piser  su  fa.,"esser  sul  cataletto,"
esser  morto.  Paviment  de  a.,"impiantito,"
de  a.,"assito,  tavolato."
■^asà,"abbastanza,  a  sufficienza,  bastante¬"
"mente,  assai.  Averne  a.","averne  assai,  ab¬"
asaltar,"assalire,  assaltare,  aggredire,"
a  salti,"a  tutta  corsa,  di  gran  corsa,  a"
a  saltini,"saltellone,  saltelloni."
asalto,"assalto,  anco  di  malattia.  Dar  fa."
"a  sbac,  a  sbaco","in  profusione,  a  iosa,"
a  sbrindolón,"che  casca  a  brani,  a  sbrèn¬"
a  scachi,"a  scacchi,  scaccato."
*a  scagnèl  madòna.  Portar,portare  a  N
*a  scaléte.  Tttiar,cincischiate.
*a  scalcagnón,a  cacaiola.
'a  scarmenón,"sparpagl latamente,  in  qua"
*a  scavezón,attraverso;  per  mezzo.
a  sciap,"a  stormi,  a  brigate;  a  branchi;"
ascoltante,"ascoltante,  uditore,"
ascoltar,ascoltare  ne' vari  sensi:  stare
ascolto  s  ascolto.  Dar  a.,"dar  retta,  dare"
a  scròc,"a  spese  alimi,  a  scrocco,  a  ufo."
asedèla,"asserella,  assicella,"
asediar,"assediare  nel  senso  fig,  di  circuire,"
asedón,asciatane  (dei  muratori);  freccia
asegnar,"assegnare,  destinare,  dare  in  dote,"
asegno,"assegno,  assegnamento."
*asèla,asciatane  (del  morsetto  de'  le¬
àsen,"àsino,  somaro,  ciuco:  così  nel  fi g."
a.,"asinaio,  ciucaio.  Fregar  la  testa  a"
l’  a.,"far  opera  inutile,  lavare  il  capo,"
gli  orecchi  alfa.  Lavorar  come  n’ a.,la-  j
el  patron,"fare  a  modo  di  chi  comanda,"
a  cavai  de  »’  a.,"viaggiar  sull’ a.,  schers."
1?  è  mei  ri’ a.  vru  che  ’n  dotar  mòrt,è
asenada,asinata  ne' vari  sensi ;  ciucheria
*asenar  zò,"dar  dell’  aSino,  svillaneggiare,"
colmar  d’improperi.  Asenarse  zò,svilla¬
